ID,Name,Age,OVA,Nationality,Club,BP,Team & Contract,Height,Weight,foot,Joined,Contract,Attacking,Heading Accuracy,Short Passing,Skill,Movement,Acceleration,Shot Power,Jumping,Stamina,Strength
184120,Bruno,35,76,Spain,Villarreal CF,CM,Villarreal CF 2005 ~ 2020,"6'0""",161lbs,Left,"Jul 1, 2005",2005 ~ 2020,319,61,82,379,231,32,78,55,32,70
184134,Fernando,32,83,Brazil,Sevilla FC,CDM,Sevilla FC 2019 ~ 2022,"6'0""",168lbs,Right,"Jul 12, 2019",2019 ~ 2022,329,74,83,345,345,66,76,76,82,81
184417,Sergio Tejera,30,70,Spain,Real Oviedo,CDM,Real Oviedo 2018 ~ 2021,"5'11""",165lbs,Left,"Jul 2, 2018",2018 ~ 2021,326,58,69,352,345,72,73,63,80,70
184606,Fábio Pacheco,32,75,Portugal,Moreirense FC,CDM,Moreirense FC 2018 ~ 2021,"5'11""",161lbs,Right,"Jul 1, 2018",2018 ~ 2021,299,63,74,311,344,65,67,82,77,70
184823,Djalma,32,72,Angola,Alanyaspor,LM,Alanyaspor 2018 ~ 2020,"5'10""",172lbs,Right,"Jul 1, 2018",2018 ~ 2020,329,60,71,351,372,79,75,75,70,81
184826,Adrien Silva,31,76,Portugal,Leicester City,CM,Leicester City 2018 ~ 2021,"5'9""",152lbs,Right,"Jan 1, 2018",2018 ~ 2021,351,61,79,386,314,53,79,51,69,63
184845,Wellington,31,69,Brazil,Vissel Kobe,ST,Vissel Kobe 2018 ~ 2022,"6'1""",196lbs,Right,"Jan 1, 2018",2018 ~ 2022,326,72,63,278,261,54,72,73,70,93
184858,Alan Kardec,31,76,Brazil,Chongqing Dangdai Lifan FC SWM Team,ST,Chongqing Dangdai Lifan FC SWM Team 2016 ~ 2020,"6'2""",159lbs,Right,"Sep 15, 2016",2016 ~ 2020,362,82,67,326,357,74,78,84,81,81
184926,Fabiano,30,73,Brazil,FC Porto,GK,FC Porto 2012 ~ 2019,"6'6""",201lbs,Right,"Jul 1, 2012",2012 ~ 2019,95,19,34,77,218,47,18,74,42,78
184943,Ramires,31,80,Brazil,Jiangsu Suning FC,CDM,Jiangsu Suning FC 2019 ~ 2019,"5'10""",152lbs,Right,"Mar 25, 2019",2019 ~ 2019,353,75,78,352,395,82,75,81,85,65
184949,Mariano,33,77,Brazil,Galatasaray SK,RB,Galatasaray SK 2017 ~ 2020,"5'10""",152lbs,Right,"Jul 17, 2017",2017 ~ 2020,328,59,76,365,379,81,84,70,88,70
184999,Maurício,30,76,Brazil,PAOK,CDM,PAOK 2017 ~ 2020,"5'11""",172lbs,Right,"Aug 31, 2017",2017 ~ 2020,347,67,80,385,363,77,76,83,74,67
185000,Thiago Neves,29,77,Brazil,Al Hilal,CAM,Al Hilal 2013 ~ 2016,"6'0""",154lbs,Left,"Jul 13, 2013",2013 ~ 2016,369,73,78,388,361,73,84,83,83,63
185020,José Callejón,33,84,Spain,Napoli,RM,Napoli 2013 ~ 2020,"5'10""",161lbs,Right,"Jul 11, 2013",2013 ~ 2020,389,65,80,356,421,86,78,70,88,53
185132,Mikel San José,31,77,Spain,Birmingham City,CM,Birmingham City 2020 ~ 2022,"6'2""",174lbs,Right,"Sep 21, 2020",2020 ~ 2022,349,82,81,297,234,35,79,76,74,87
185221,Luiz Gustavo,32,80,Brazil,Fenerbahçe SK,CDM,Fenerbahçe SK 2019 ~ 2023,"6'2""",172lbs,Left,"Sep 2, 2019",2019 ~ 2023,312,72,75,323,318,61,78,77,85,81
186519,Juan Cala,30,72,Spain,Cádiz CF,CB,Cádiz CF 2019 ~ 2024,"6'1""",172lbs,Right,"Jul 17, 2019",2019 ~ 2024,294,70,72,293,313,54,70,84,79,82
186568,Marcos Paulo,25,69,Brazil,Associação Académica de Coimbra,CAM,Associação Académica de Coimbra 2012 ~ 2015,"5'11""",172lbs,Right,"Jul 1, 2012",2012 ~ 2015,296,60,73,351,340,68,76,71,73,65
186680,Raúl Fernández,32,70,Spain,UD Las Palmas,GK,UD Las Palmas 2018 ~ 2021,"6'5""",203lbs,Right,"Jul 23, 2018",2018 ~ 2021,91,13,29,94,238,36,47,65,32,79
186684,Kiko Olivas,31,75,Spain,Real Valladolid CF,CB,Real Valladolid CF 2017 ~ 2022,"6'1""",176lbs,Right,"Aug 22, 2017",2017 ~ 2022,300,73,74,259,264,48,62,79,78,79
187324,Maurício,29,72,Brazil,Lazio,CB,Lazio 2015 ~ 2019,"6'1""",181lbs,Right,"Jul 1, 2015",2015 ~ 2019,268,71,64,256,314,58,56,83,54,80
187570,Douglas,36,77,Brazil,Vitória Guimarães,GK,Vitória Guimarães 2011 ~ 2020,"6'2""",192lbs,Right,"Jan 1, 2011",2011 ~ 2020,85,14,34,94,247,33,53,74,41,72
187572,Thiago Carleto,29,70,Brazil,Al Ittihad,LWB,Al Ittihad 2018 ~ 2020,"5'10""",179lbs,Left,"Jul 17, 2018",2018 ~ 2020,290,48,66,358,347,72,85,75,69,71
187598,Rafael Tolói,29,77,Brazil,Atalanta,CB,Atalanta 2015 ~ 2023,"6'1""",165lbs,Right,"Aug 26, 2015",2015 ~ 2023,246,78,66,303,332,65,75,76,56,69
187688,Ganso,28,75,Brazil,Amiens SC,CAM,"Amiens SC Jun 30, 2019 On Loan","6'0""",172lbs,Left,"Jul 21, 2016","Jun 30, 2019 On Loan",361,56,81,398,259,36,77,29,56,67
187896,Wanderson,33,66,Brazil,Helsingborgs IF,CAM,Helsingborgs IF 2018 ~ 2019,"5'11""",165lbs,Right,"Aug 7, 2018",2018 ~ 2019,321,64,67,331,302,57,73,50,60,62
187961,Paulinho,31,83,Brazil,Guangzhou Evergrande Taobao FC,CM,Guangzhou Evergrande Taobao FC 2019 ~ 2023,"6'0""",176lbs,Right,"Jan 15, 2019",2019 ~ 2023,393,85,82,382,385,74,83,92,92,82
188133,Wellington,24,73,Brazil,Internacional,CDM,Internacional 2008 ~ 2015,"5'8""",154lbs,Right,"Feb 1, 2008",2008 ~ 2015,315,63,72,344,396,82,73,87,84,64
188152,Oscar,28,83,Brazil,Shanghai SIPG FC,CAM,Shanghai SIPG FC 2017 ~ 2024,"5'10""",146lbs,Right,"Jan 1, 2017",2017 ~ 2024,376,59,86,404,410,83,80,75,84,58
188177,Douglas,32,64,Netherlands,FC Würzburger Kickers,CB,FC Würzburger Kickers 2020 ~ 2021,"6'4""",209lbs,Right,"Aug 11, 2020",2020 ~ 2021,230,68,53,202,228,42,67,58,29,79
188234,Felipe,33,67,Brazil,Hannover 96,CB,Hannover 96 2012 ~ 2021,"6'4""",198lbs,Left,"Jul 1, 2012",2012 ~ 2021,231,70,62,241,235,32,76,66,33,85
188313,Diogo Viana,30,75,Portugal,SC Braga,RWB,SC Braga 2019 ~ 2021,"5'9""",152lbs,Right,"Jul 1, 2019",2019 ~ 2021,313,56,72,373,395,83,77,57,70,56
188370,Wallace,31,73,Brazil,Göztepe SK,CB,Göztepe SK 2018 ~ 2020,"6'1""",168lbs,Right,"Jan 31, 2018",2018 ~ 2020,302,73,68,248,243,34,62,84,40,76
188554,Dani Pacheco,29,70,Spain,Málaga CF,LM,Málaga CF 2018 ~ 2021,"5'7""",154lbs,Right,"Aug 15, 2018",2018 ~ 2021,317,47,71,369,389,72,65,75,68,61
188840,Miguel Lopes,33,75,Portugal,Kayserispor,RB,Kayserispor 2019 ~ 2021,"6'0""",183lbs,Right,"Jul 12, 2019",2019 ~ 2021,302,65,70,328,358,77,70,71,82,75
188930,Laure,35,71,Spain,AD Alcorcón,RB,AD Alcorcón 2017 ~ 2021,"5'7""",150lbs,Right,"Jul 5, 2017",2017 ~ 2021,294,57,69,297,371,72,68,67,74,63
189118,Thiago Cionek,34,70,Poland,SPAL,CB,SPAL 2018 ~ 2020,"6'0""",176lbs,Right,"Jan 12, 2018",2018 ~ 2020,211,66,54,210,302,61,31,92,54,78
189136,Álex Cruz,28,62,Spain,UE Llagostera,LB,UE Llagostera 2016 ~ 2018,"5'10""",152lbs,Left,"Jan 18, 2016",2016 ~ 2018,242,56,55,239,326,76,63,63,82,58
189169,Jonathas,31,73,Brazil,Elche CF,ST,Elche CF 2020 ~ 2020,"6'3""",179lbs,Right,"Jan 31, 2020",2020 ~ 2020,346,77,64,264,323,66,79,76,57,86
189172,Fidel,30,72,Spain,Elche CF,LM,Elche CF 2019 ~ 2022,"5'11""",163lbs,Left,"Jul 1, 2019",2019 ~ 2022,318,46,64,342,374,74,72,75,71,61
189211,Saúl Berjón,34,73,Spain,Real Oviedo,LM,Real Oviedo 2017 ~ 2023,"5'10""",185lbs,Right,"Jan 1, 2017",2017 ~ 2023,337,45,74,366,381,77,76,62,68,75
189303,Nélson Oliveira,28,75,Portugal,AEK Athens,ST,AEK Athens 2019 ~ 2021,"6'1""",181lbs,Right,"Jul 20, 2019",2019 ~ 2021,358,72,70,317,345,65,78,66,69,79
189332,Jordi Alba,31,86,Spain,FC Barcelona,LB,FC Barcelona 2012 ~ 2024,"5'7""",150lbs,Left,"Jul 1, 2012",2012 ~ 2024,372,70,84,387,433,88,64,80,88,61
189362,Hulk,33,80,Brazil,Shanghai SIPG FC,LW,Shanghai SIPG FC 2017 ~ 2020,"5'11""",187lbs,Left,"Jul 1, 2017",2017 ~ 2020,376,71,78,395,402,83,94,74,85,89
189423,Souza,31,76,Brazil,Beşiktaş JK,CDM,Beşiktaş JK 2020 ~ 2021,"6'2""",170lbs,Right,"Sep 16, 2020",2020 ~ 2021,310,75,74,341,341,67,76,65,90,83
189468,Daniel Candeias,32,72,Portugal,Gençlerbirliği SK,RM,Gençlerbirliği SK 2019 ~ 2021,"5'10""",172lbs,Right,"Jul 23, 2019",2019 ~ 2021,322,55,71,351,374,76,66,59,86,76
189505,Pedro,32,80,Spain,Roma,RW,Roma 2020 ~ 2023,"5'7""",148lbs,Right,"Aug 25, 2020",2020 ~ 2023,357,55,79,372,389,78,77,66,62,40
189509,Thiago,29,85,Spain,Liverpool,CM,Liverpool 2020 ~ 2024,"5'9""",154lbs,Right,"Sep 18, 2020",2020 ~ 2024,373,54,89,432,395,74,75,75,73,59
189530,Sílvio,32,72,Portugal,Vitória Guimarães,RB,Vitória Guimarães 2020 ~ 2021,"5'9""",150lbs,Right,"Sep 5, 2020",2020 ~ 2021,307,65,69,310,340,68,66,74,78,64
189661,Álvaro Giménez,29,70,Spain,Cádiz CF,ST,Cádiz CF 2020 ~ 2023,"6'0""",183lbs,Left,"Aug 4, 2020",2020 ~ 2023,319,66,62,273,346,70,71,75,75,74
189680,Fábio,29,73,Brazil,FC Nantes,RB,FC Nantes 2018 ~ 2021,"5'8""",163lbs,Right,"Jul 18, 2018",2018 ~ 2021,308,59,73,329,381,74,72,75,58,62
189681,Rafael,29,77,Brazil,Medipol Başakşehir FK,RB,Medipol Başakşehir FK 2020 ~ 2022,"5'8""",172lbs,Right,"Sep 8, 2020",2020 ~ 2022,328,64,77,355,390,78,72,84,74,72
189769,Vitor Hugo,22,57,Portugal,CD Trofense,ST,CD Trofense 2007,"5'8""",150lbs,Right,,2007,253,66,57,222,197,67,59,,68,62
189795,Éder,32,74,Portugal,Lokomotiv Moscow,ST,Lokomotiv Moscow 2018 ~ 2021,"6'3""",179lbs,Right,"Jul 16, 2018",2018 ~ 2021,332,74,66,293,357,73,81,64,69,83
189895,Enric Vallès,30,62,Spain,Sandefjord Fotball,CM,Sandefjord Fotball 2016 ~ 2021,"6'3""",185lbs,Left,"Jan 1, 2016",2016 ~ 2021,281,45,64,321,287,65,74,76,73,73
190021,Hugo Fraile,33,72,Spain,AD Alcorcón,RM,AD Alcorcón 2020 ~ 2021,"5'9""",161lbs,Right,"Aug 23, 2020",2020 ~ 2021,319,49,68,365,381,81,73,71,72,67
190156,Rubén Pérez,31,74,Spain,CD Leganés,CDM,CD Leganés 2018 ~ 2022,"5'10""",161lbs,Right,"Jul 6, 2018",2018 ~ 2022,270,56,78,321,277,44,79,71,72,70
190232,Fellipe Bastos,23,69,Brazil,Ponte Preta,CDM,Ponte Preta 2012 ~ 2017,"5'11""",181lbs,Right,"Jan 1, 2012",2012 ~ 2017,301,60,66,355,320,61,82,79,72,70
190483,Douglas Costa,29,84,Brazil,Juventus,LM,Juventus 2018 ~ 2022,"5'8""",154lbs,Left,"Jul 1, 2018",2018 ~ 2022,355,50,83,410,450,94,86,60,68,56
190542,Pedro Sánchez,33,71,Spain,Albacete BP,RM,Albacete BP 2019 ~ 2021,"5'9""",163lbs,Right,"Aug 27, 2019",2019 ~ 2021,302,32,67,359,386,80,76,80,81,69
190782,Sandro,30,73,Brazil,Genoa,CB,Genoa 2018 ~ 2020,"6'2""",165lbs,Right,"Jul 3, 2018",2018 ~ 2020,321,66,72,322,285,48,80,65,48,78
190982,Alberto Perea,29,69,Spain,Cádiz CF,LM,Cádiz CF 2017 ~ 2023,"5'10""",163lbs,Right,"Jul 17, 2017",2017 ~ 2023,302,52,62,353,360,74,66,73,63,58
191043,Alex Sandro,29,85,Brazil,Juventus,LB,Juventus 2015 ~ 2023,"5'11""",176lbs,Left,"Aug 21, 2015",2015 ~ 2023,364,76,81,369,400,78,80,79,90,77
191055,Dídac Vilà,31,75,Spain,RCD Espanyol,LB,RCD Espanyol 2017 ~ 2022,"6'1""",163lbs,Left,"Aug 30, 2017",2017 ~ 2022,300,69,71,326,331,69,72,71,74,73
191687,Maicon,31,78,Brazil,Al Nassr,CB,Al Nassr 2020 ~ 2021,"6'3""",185lbs,Right,"Aug 4, 2020",2020 ~ 2021,289,83,67,334,247,50,85,71,72,90
191740,Ander Herrera,30,79,Spain,Paris Saint-Germain,CDM,Paris Saint-Germain 2019 ~ 2024,"6'0""",157lbs,Right,"Jul 4, 2019",2019 ~ 2024,350,63,82,379,365,69,78,62,82,69
192165,Paulinho,34,70,Brazil,Hammarby IF,LW,Hammarby IF 2020 ~ 2021,"5'9""",165lbs,Right,"Jan 24, 2020",2020 ~ 2021,307,41,66,334,383,75,72,77,66,68
192270,Johnathan,30,77,Brazil,Tianjin TEDA FC,ST,Tianjin TEDA FC 2017 ~ 2022,"6'0""",165lbs,Right,"Jan 6, 2017",2017 ~ 2022,356,80,68,337,386,81,80,84,88,80
192397,Rafael,30,74,Brazil,Reading,GK,Reading 2019 ~ 2022,"6'1""",183lbs,Right,"Aug 6, 2019",2019 ~ 2022,92,13,33,95,273,52,48,62,32,68
192490,Juan Villar,32,70,Spain,UD Almería,RW,UD Almería 2020 ~ 2023,"6'0""",159lbs,Right,"Sep 12, 2020",2020 ~ 2023,331,62,64,345,407,86,72,88,71,70
192528,Steven Vitória,33,63,Canada,Moreirense FC,CB,Moreirense FC 2019 ~ 2022,"6'5""",190lbs,Right,"Jul 4, 2019",2019 ~ 2022,249,65,59,286,195,29,74,30,53,91
192629,Iago Aspas,32,84,Spain,RC Celta,ST,RC Celta 2015 ~ 2023,"5'9""",148lbs,Left,"Jul 1, 2015",2015 ~ 2023,408,77,79,400,410,78,79,66,69,60
192634,Marc Mateu,30,69,Spain,C.D. Castellón,CM,C.D. Castellón 2020 ~ 2022,"5'11""",157lbs,Left,"Aug 23, 2020",2020 ~ 2022,328,56,71,351,342,64,74,54,75,70
192638,Marcos Alonso,29,81,Spain,Chelsea,LB,Chelsea 2016 ~ 2023,"6'2""",187lbs,Left,"Aug 31, 2016",2016 ~ 2023,396,83,83,403,333,67,84,73,91,76
192678,Kike García,30,77,Spain,SD Eibar,ST,SD Eibar 2016 ~ 2021,"6'1""",174lbs,Right,"Feb 3, 2016",2016 ~ 2021,371,81,78,289,309,61,81,72,66,76
192693,Dudu,23,77,Brazil,Palmeiras,LW,Palmeiras 2015 ~ 2018,"5'5""",134lbs,Right,"Jan 12, 2015",2015 ~ 2018,330,57,73,345,414,85,70,70,72,32
192708,Carlos Eduardo,30,76,Brazil,Al Hilal,ST,Al Hilal 2015 ~ 2020,"6'0""",163lbs,Right,"Jul 5, 2015",2015 ~ 2020,380,76,74,376,339,66,77,69,72,79
192715,Juanpe,29,70,Spain,Girona FC,CB,Girona FC 2016 ~ 2022,"6'3""",187lbs,Right,"Jul 7, 2016",2016 ~ 2022,224,70,71,233,236,42,48,71,72,84
192766,Marc Muniesa,27,73,Spain,Girona FC,CB,Girona FC 2018 ~ 2021,"5'10""",159lbs,Left,"Jul 2, 2018",2018 ~ 2021,280,69,70,296,292,38,46,88,70,68
192789,Mario Gaspar,29,80,Spain,Villarreal CF,RB,Villarreal CF 2008 ~ 2023,"6'0""",163lbs,Right,"Jul 1, 2008",2008 ~ 2023,361,65,76,343,355,73,80,73,78,75
192958,Álex Cruz,22,65,Spain,Granada CF,RW,Granada CF 2011 ~ 2014,"5'8""",148lbs,Left,"Jan 1, 2011",2011 ~ 2014,258,38,56,303,373,81,56,84,64,39
193064,Carlos David,34,65,Spain,FC Cartagena,CB,FC Cartagena 2019 ~ 2021,"6'0""",176lbs,Right,"Jul 24, 2019",2019 ~ 2021,233,66,59,202,281,61,46,71,69,79
193143,Roderick Miranda,29,69,Portugal,Wolverhampton Wanderers,CB,Wolverhampton Wanderers 2017 ~ 2021,"6'4""",196lbs,Right,"Jun 13, 2017",2017 ~ 2021,249,67,63,242,212,43,68,54,64,86
193171,Jaume Costa,32,79,Spain,Villarreal CF,LB,Villarreal CF 2010 ~ 2021,"5'7""",137lbs,Left,"Jul 1, 2010",2010 ~ 2021,325,70,79,343,367,76,75,71,65,67
193429,Douglas,29,74,Brazil,Beşiktaş JK,RB,Beşiktaş JK 2019 ~ 2022,"5'7""",132lbs,Right,"Jul 29, 2019",2019 ~ 2022,315,49,75,350,399,77,78,75,64,57
193469,Víctor Ruiz,31,77,Spain,Real Betis,CB,Real Betis 2020 ~ 2021,"6'1""",172lbs,Left,"Aug 31, 2020",2020 ~ 2021,276,77,69,301,278,49,59,76,68,77
193495,André Santos,30,70,Portugal,Os Belenenses,CM,Os Belenenses 2018 ~ 2020,"5'10""",154lbs,Right,"Aug 13, 2018",2018 ~ 2020,313,56,74,352,314,66,80,71,67,66
193571,Dodô,28,71,Brazil,Sampdoria,LM,Sampdoria 2018 ~ 2021,"5'10""",165lbs,Left,"Feb 22, 2018",2018 ~ 2021,308,59,74,353,367,70,72,70,59,62
193747,Koke,28,85,Spain,Atlético Madrid,CM,Atlético Madrid 2011 ~ 2024,"5'9""",170lbs,Right,"Jan 1, 2011",2011 ~ 2024,361,61,87,410,375,68,83,63,94,75
193757,Edu Ramos,28,70,Spain,Cádiz CF,CDM,Cádiz CF 2018 ~ 2021,"5'9""",170lbs,Right,"Aug 30, 2018",2018 ~ 2021,250,34,76,297,340,63,66,53,78,72
193796,Isma López,30,67,Spain,Dinamo Bucureşti,LB,Dinamo Bucureşti 2020 ~ 2022,"5'10""",165lbs,Left,"Sep 4, 2020",2020 ~ 2022,290,50,68,313,368,78,71,63,78,66
193839,Rômulo,32,75,Italy,Brescia,RM,"Brescia Jun 30, 2020 On Loan","5'10""",159lbs,Right,"Jul 11, 2018","Jun 30, 2020 On Loan",321,56,75,364,396,83,72,65,88,64
193847,Osmar,32,75,Spain,FC Seoul,CDM,FC Seoul 2014 ~ 2021,"6'4""",190lbs,Left,"Jan 5, 2014",2014 ~ 2021,298,76,74,320,235,43,74,66,91,93
193869,Gil,31,77,Brazil,Shandong Luneng TaiShan FC,CB,Shandong Luneng TaiShan FC 2016 ~ 2021,"6'2""",212lbs,Right,"Jan 20, 2016",2016 ~ 2021,244,80,66,251,255,55,69,66,82,89
194020,Pelé,28,72,Guinea Bissau,Rio Ave FC,CDM,"Rio Ave FC Jun 30, 2021 On Loan","6'0""",172lbs,Right,"Jul 6, 2018","Jun 30, 2021 On Loan",299,64,68,331,341,66,73,71,79,80
194022,André Almeida,29,80,Portugal,SL Benfica,RB,SL Benfica 2011 ~ 2023,"6'1""",176lbs,Right,"Jul 1, 2011",2011 ~ 2023,346,74,80,349,333,63,76,77,87,78
194135,Leonardo,33,73,Brazil,Shandong Luneng TaiShan FC,LW,Shandong Luneng TaiShan FC 2020 ~ 2023,"5'8""",143lbs,Left,"Jul 14, 2020",2020 ~ 2023,317,45,68,363,384,80,68,81,63,70
194329,Javi Ros,30,69,Spain,Real Zaragoza,CM,Real Zaragoza 2016 ~ 2023,"5'8""",150lbs,Right,"Jan 28, 2016",2016 ~ 2023,283,41,72,336,361,69,71,71,80,70
194334,Daniel Ayala,29,71,Spain,Blackburn Rovers,CB,Blackburn Rovers 2020 ~ 2023,"6'3""",185lbs,Right,"Sep 15, 2020",2020 ~ 2023,237,74,58,251,307,63,47,75,74,77
194404,Neto,30,82,Brazil,FC Barcelona,GK,FC Barcelona 2019 ~ 2023,"6'3""",185lbs,Right,"Jul 9, 2019",2019 ~ 2023,88,14,36,109,294,56,59,83,41,63
194647,Rubén Miño,31,68,Spain,UD Logroñés,GK,UD Logroñés 2019 ~ 2021,"6'3""",190lbs,Right,"Aug 13, 2019",2019 ~ 2021,100,16,35,107,283,56,47,65,44,66
194730,Juan Carlos,32,72,Spain,Girona FC,GK,Girona FC 2019 ~ 2021,"6'2""",181lbs,Right,"Jul 1, 2019",2019 ~ 2021,105,19,25,104,300,58,56,70,42,61
194761,Borja García,29,75,Spain,SD Huesca,CAM,SD Huesca 2020 ~ 2023,"5'9""",159lbs,Right,"Sep 15, 2020",2020 ~ 2023,330,53,78,346,383,82,67,74,67,68
194781,Renan Ribeiro,30,74,Brazil,Sporting CP,GK,Sporting CP 2019 ~ 2023,"6'4""",194lbs,Right,"Jan 31, 2019",2019 ~ 2023,68,16,19,73,263,55,49,72,30,71
194847,Ryan Mendes,27,74,Cape Verde,Kayserispor,RM,Kayserispor 2017 ~ 2020,"5'9""",161lbs,Right,"Jan 31, 2017",2017 ~ 2020,303,43,71,348,412,89,63,50,73,58
194879,Sergi Enrich,30,77,Spain,SD Eibar,ST,SD Eibar 2015 ~ 2022,"5'11""",170lbs,Right,"Jul 12, 2015",2015 ~ 2022,388,81,79,315,328,58,76,77,75,83
194911,Adrián,33,76,Spain,Liverpool,GK,Liverpool 2019 ~ 2021,"6'3""",176lbs,Right,"Aug 5, 2019",2019 ~ 2021,76,15,21,99,263,46,51,69,38,63
194956,Edgar Costa,33,69,Portugal,Clube Sport Marítimo,RM,Clube Sport Marítimo 2014 ~ 2021,"5'10""",161lbs,Right,"Jul 1, 2014",2014 ~ 2021,330,56,67,355,343,69,77,68,67,69
194963,André,29,72,Brazil,Gazişehir Gaziantep F.K.,ST,Gazişehir Gaziantep F.K. 2020 ~ 2022,"5'11""",170lbs,Right,"Aug 21, 2020",2020 ~ 2022,337,71,68,307,354,72,74,78,68,70
194979,Tiago Pinto,32,75,Portugal,MKE Ankaragücü,LB,MKE Ankaragücü 2018 ~ 2022,"5'10""",154lbs,Left,"Jul 16, 2018",2018 ~ 2022,302,64,72,359,389,83,76,75,82,64
194996,Borja Bastón,27,73,Spain,CD Leganés,ST,CD Leganés 2020 ~ 2021,"6'1""",181lbs,Right,"Sep 6, 2020",2020 ~ 2021,348,77,69,304,265,41,80,57,66,87
195093,Willian José,28,80,Brazil,Real Sociedad,ST,Real Sociedad 2016 ~ 2024,"6'2""",201lbs,Right,"Jul 31, 2016",2016 ~ 2024,372,84,78,333,318,64,84,79,70,92
195096,Fransérgio,29,77,Brazil,SC Braga,CM,SC Braga 2017 ~ 2024,"6'2""",181lbs,Right,"Jul 1, 2017",2017 ~ 2024,358,74,77,376,311,55,85,52,89,79
195361,Javi López,34,74,Spain,RCD Espanyol,RB,RCD Espanyol 2006 ~ 2021,"5'11""",168lbs,Right,"Jul 1, 2006",2006 ~ 2021,318,65,76,322,338,64,57,71,69,67
195668,Joel Robles,30,76,Spain,Real Betis,GK,Real Betis 2018 ~ 2022,"6'5""",198lbs,Right,"Jul 5, 2018",2018 ~ 2022,63,12,15,100,265,50,54,59,25,72
196801,Mexer,31,75,Mozambique,FC Girondins de Bordeaux,CB,FC Girondins de Bordeaux 2019 ~ 2023,"6'2""",174lbs,Right,"Jul 1, 2019",2019 ~ 2023,287,76,77,270,308,50,49,80,73,79
196899,Héldon,31,75,Cape Verde,Al Taawoun,LM,Al Taawoun 2018 ~ 2022,"5'9""",148lbs,Right,"Jul 2, 2018",2018 ~ 2022,337,59,67,359,401,86,75,64,74,59
196935,Ignasi Miquel,27,70,Spain,CD Leganés,CB,"CD Leganés Jun 30, 2021 On Loan","6'2""",181lbs,Left,"Aug 4, 2018","Jun 30, 2021 On Loan",232,70,69,230,279,58,57,58,63,73
196942,Iñigo Pérez,32,74,Spain,CA Osasuna,CDM,CA Osasuna 2018 ~ 2022,"5'10""",163lbs,Left,"Jul 2, 2018",2018 ~ 2022,334,62,76,371,320,62,73,76,78,70
197688,Gabriel Silva,29,74,Brazil,AS Saint-Étienne,LWB,AS Saint-Étienne 2017 ~ 2023,"5'10""",165lbs,Left,"Aug 9, 2017",2017 ~ 2023,316,53,75,345,361,72,72,71,73,62
197781,Isco,28,84,Spain,Real Madrid,CAM,Real Madrid 2013 ~ 2022,"5'9""",174lbs,Right,"Jul 3, 2013",2013 ~ 2022,360,55,84,428,383,71,69,61,61,59
197860,Ivo Pinto,30,72,Portugal,Rio Ave FC,RB,Rio Ave FC 2019 ~ 2022,"6'0""",154lbs,Right,"Jul 1, 2019",2019 ~ 2022,273,57,66,308,374,87,61,67,75,70
197885,Cedrick,24,69,DR Congo,UCAM Murcia CF,RM,UCAM Murcia CF 2017 ~ 2017,"5'6""",137lbs,Right,"Jan 1, 2017",2017 ~ 2017,270,42,65,315,430,95,64,82,72,56
197891,Juanmi,27,75,Spain,Real Betis,CF,Real Betis 2019 ~ 2024,"5'8""",152lbs,Right,"Jul 1, 2019",2019 ~ 2024,366,72,74,326,376,74,71,72,67,46
197965,Pizzi,30,84,Portugal,Portugal,RM,SL Benfica 2013 ~ 2023,"5'10""",159lbs,Right,"Jul 30, 2013",SL Benfica 2013 ~ 2023,366,45,85,411,388,78,76,67,85,59
198023,Ximo Navarro,30,74,Spain,Deportivo Alavés,RB,Deportivo Alavés 2018 ~ 2021,"5'9""",165lbs,Right,"Jul 6, 2018",2018 ~ 2021,278,69,71,303,361,73,64,81,87,69
198031,Sérgio Oliveira,28,78,Portugal,FC Porto,CM,FC Porto 2015 ~ 2021,"5'11""",172lbs,Right,"Jul 1, 2015",2015 ~ 2021,375,64,84,392,330,62,88,56,72,65
198128,Caio,29,73,United Arab Emirates,Al Ain FC,ST,Al Ain FC 2019 ~ 2022,"5'10""",154lbs,Right,"Jul 9, 2019",2019 ~ 2022,353,74,68,343,385,80,72,73,74,63
198164,Jonathan Viera,30,81,Spain,Beijing Sinobo Guoan FC,CAM,Beijing Sinobo Guoan FC 2018 ~ 2021,"5'7""",148lbs,Right,"Feb 19, 2018",2018 ~ 2021,363,65,84,401,401,84,70,63,78,67
198198,Jordi Amat,28,70,Spain,KAS Eupen,CB,KAS Eupen 2020 ~ 2021,"6'0""",183lbs,Right,"Jul 1, 2020",2020 ~ 2021,227,68,66,238,311,59,75,77,67,78
198213,Leandro Damião,30,73,Brazil,Kawasaki Frontale,ST,Kawasaki Frontale 2019 ~ 2021,"6'2""",198lbs,Right,"Feb 2, 2019",2019 ~ 2021,338,77,67,321,265,43,76,46,64,89
198240,Raúl Carnero,31,73,Spain,Real Valladolid CF,LB,Real Valladolid CF 2020 ~ 2023,"5'11""",163lbs,Left,"Aug 4, 2020",2020 ~ 2023,322,61,72,350,348,64,72,76,91,67
198329,Rodrigo,29,82,Spain,Leeds United,ST,Leeds United 2020 ~ 2024,"6'0""",170lbs,Left,"Aug 29, 2020",2020 ~ 2024,395,80,81,371,417,90,82,77,75,69
