ID,Name,Age,OVA,Nationality,Club,BP,foot,Attacking,Heading Accuracy,Short Passing,Skill,Movement,Acceleration,Shot Power,Jumping,Stamina,Strength,Height_cm,Weight_kg,Contract_Years,total_injuries,total_days_missed,total_games_missed,avg_days_per_injury,injury_risk_score,latest_market_val,latest_season,avg_sentiment,sentiment_label,sentiment_count
233419,Raphinha,23,81,Brazil,Stade Rennais FC,LM,Left,339,45,74,383,429,91,80,74.0,83,64,175.3,68.0,5.0,10,187,37,18.7,18.7,32000000.0,2020.0,0.516,positive,3.0
212198,Bruno Fernandes,25,87,Portugal,Manchester United,CAM,Right,396,58,88,433,398,78,89,72.0,94,67,177.8,68.9,5.0,4,30,6,7.5,7.5,90000000.0,2019.0,0.012,neutral,3.0
212462,Alex Telles,27,84,Brazil,FC Porto,LB,Left,371,67,83,417,395,84,87,80.0,91,68,180.3,71.2,5.0,14,381,61,27.2,27.2,20000000.0,2020.0,0.312,positive,3.0
232381,Wesley,23,76,Brazil,Aston Villa,ST,Right,353,75,72,322,308,61,84,70.0,75,91,190.5,93.9,5.0,13,549,124,42.2,42.2,10000000.0,2021.0,-0.064,negative,3.0
232208,Allan,21,69,Brazil,Eintracht Frankfurt,CAM,Left,274,31,74,347,350,66,70,68.0,54,48,172.7,69.9,4.0,22,382,58,17.4,17.4,2000000.0,2020.0,-0.11,negative,3.0
20801,Cristiano Ronaldo,35,92,Portugal,Juventus,ST,Right,437,90,82,414,431,87,94,95.0,84,78,188.0,83.0,4.0,15,138,24,9.2,9.2,45000000.0,2021.0,0.366,positive,3.0
230658,Arthur,23,84,Brazil,Juventus,CM,Right,352,58,88,396,387,68,78,68.0,76,68,170.2,73.0,4.0,2,221,37,110.5,110.5,35000000.0,2020.0,0.214,positive,3.0
217731,Sandro,24,73,Spain,Everton,ST,Right,341,62,68,373,359,70,84,67.0,55,66,175.3,71.2,4.0,11,686,131,62.4,62.4,1500000.0,2020.0,0.333,positive,3.0
146637,Dani Giménez,35,72,Spain,Deportivo de La Coruña,GK,Right,75,11,27,89,217,34,51,54.0,30,52,182.9,77.1,3.0,2,60,9,30.0,30.0,100000.0,2018.0,0.266,positive,3.0
258306,Jean Patric,23,67,Brazil,Santa Clara,LW,Right,298,49,61,286,371,86,68,46.0,54,44,175.3,67.1,2.0,1,23,4,23.0,23.0,300000.0,2020.0,-0.107,negative,3.0
222466,José Carlos,24,64,Spain,AD Alcorcón,CB,Left,243,64,62,276,247,43,52,72.0,66,67,185.4,73.9,2.0,4,699,42,174.8,174.8,100000.0,2014.0,0.316,positive,3.0
136130,Alex,33,79,Brazil,Milan,CB,Right,244,80,56,285,258,50,86,84.0,54,90,188.0,92.1,2.0,35,1197,177,34.2,34.2,1500000.0,2020.0,0.385,positive,3.0
135507,Fernandinho,35,84,Brazil,Manchester City,CB,Right,364,71,86,381,363,67,83,84.0,78,76,177.8,67.1,8.0,21,575,91,27.4,27.4,1800000.0,2015.0,0.335,positive,3.0
227928,Nélson Semedo,26,83,Portugal,Wolverhampton Wanderers,RWB,Right,302,58,76,319,434,91,74,79.0,92,66,177.8,68.9,3.0,9,323,55,35.9,35.9,28000000.0,2020.0,0.129,positive,3.0
222737,Malcom,21,82,Brazil,FC Barcelona,CAM,Left,362,57,80,401,424,87,85,58.0,74,64,172.7,73.9,5.0,13,334,56,25.7,25.7,22000000.0,2019.0,0.225,positive,3.0
223979,Paolo Fernandes,21,66,Spain,C.D. Castellón,CAM,Left,282,38,65,315,372,80,68,45.0,68,37,170.2,60.8,3.0,3,483,26,161.0,161.0,450000.0,2017.0,0.527,positive,3.0
224019,Pedro Chirivella,23,68,Spain,FC Nantes,CM,Right,276,55,74,309,333,62,62,53.0,72,64,177.8,66.2,3.0,4,83,15,20.8,20.8,3200000.0,2020.0,0.787,positive,3.0
172316,Coke,33,75,Spain,Levante UD,RB,Right,353,83,73,321,340,68,70,80.0,63,64,177.8,73.9,4.0,8,371,56,46.4,46.4,800000.0,2018.0,-0.108,negative,3.0
233605,Pedro,22,74,Brazil,Fiorentina,ST,Right,309,69,63,290,336,70,75,65.0,62,72,182.9,78.0,5.0,21,731,137,34.8,34.8,1500000.0,2020.0,0.506,positive,3.0
207865,Marquinhos,26,85,Brazil,Paris Saint-Germain,CB,Right,298,84,82,312,364,70,61,89.0,80,75,182.9,74.8,11.0,25,566,117,22.6,22.6,75000000.0,2013.0,0.106,positive,3.0
207863,Felipe,31,84,Brazil,Atlético Madrid,CB,Right,285,84,73,251,327,58,46,90.0,76,89,190.5,83.0,3.0,14,280,34,20.0,20.0,1500000.0,2020.0,0.528,positive,3.0
252327,Manu Sánchez,19,70,Spain,Atlético Madrid,LWB,Left,261,56,65,273,336,70,43,62.0,73,54,177.8,69.9,6.0,3,240,26,80.0,80.0,8000000.0,2021.0,0.402,positive,3.0
209499,Fabinho,26,87,Brazil,Liverpool,CDM,Right,345,75,85,365,349,66,81,75.0,88,81,188.0,78.0,5.0,15,488,75,32.5,32.5,350000.0,2019.0,0.635,positive,3.0
237135,Davidson,29,77,Brazil,Alanyaspor,LW,Right,341,60,72,373,387,76,83,70.0,85,64,177.8,63.0,3.0,3,16,3,5.3,5.3,3800000.0,2020.0,-0.101,negative,3.0
252145,Nuno Mendes,18,72,Portugal,Sporting CP,LB,Left,276,67,64,270,402,87,40,65.0,73,48,175.3,69.9,6.0,10,431,70,43.1,43.1,1200000.0,2020.0,0.677,positive,3.0
180175,Alexandre Pato,28,80,Brazil,Tianjin Quanjian FC,CF,Right,367,69,75,365,399,84,76,78.0,67,72,180.3,81.2,2.0,15,819,97,54.6,54.6,1500000.0,2016.0,0.796,positive,3.0
195668,Joel Robles,30,76,Spain,Real Betis,GK,Right,63,12,15,100,265,50,54,59.0,25,72,195.6,89.8,4.0,1,35,4,35.0,35.0,4000000.0,2018.0,0.318,positive,2.0
207566,William Carvalho,28,80,Portugal,Real Betis,CDM,Right,322,71,81,356,257,41,71,70.0,81,91,188.0,78.9,5.0,15,606,102,40.4,40.4,15000000.0,2018.0,0.045,neutral,2.0
194963,André,29,72,Brazil,Gazişehir Gaziantep F.K.,ST,Right,337,71,68,307,354,72,74,78.0,68,70,180.3,77.1,2.0,1,69,16,69.0,69.0,750000.0,2016.0,-0.193,negative,2.0
201315,Pablo,29,78,Brazil,FC Girondins de Bordeaux,CB,Right,277,81,65,281,301,40,68,76.0,68,83,188.0,88.9,6.0,13,742,115,57.1,57.1,9000000.0,2020.0,0.019,neutral,2.0
236355,Luiz Felipe,23,77,Brazil,Lazio,CB,Right,250,71,72,272,338,76,44,72.0,52,68,188.0,79.8,6.0,19,730,102,38.4,38.4,500000.0,2021.0,0.428,positive,2.0
220414,Diego Rico,27,77,Spain,Bournemouth,LB,Left,316,71,72,346,354,71,77,74.0,78,75,182.9,76.2,4.0,9,280,43,31.1,31.1,2000000.0,2021.0,0.201,positive,2.0
229148,Dalbert,26,73,Brazil,Inter,LWB,Left,310,60,72,333,388,90,72,57.0,78,63,180.3,69.9,6.0,6,397,61,66.2,66.2,4000000.0,2021.0,-0.026,neutral,2.0
228768,Xande Silva,23,65,Portugal,West Ham United,ST,Right,293,54,62,289,357,76,67,65.0,57,61,177.8,68.0,3.0,4,81,13,20.2,20.2,800000.0,2021.0,-0.113,negative,2.0
222509,Dani Ceballos,23,80,Spain,Arsenal,CM,Right,327,41,82,388,376,72,76,51.0,77,65,177.8,68.0,4.0,13,440,85,33.8,33.8,20000000.0,2021.0,0.31,positive,2.0
236505,Artur Jorge,24,73,Portugal,Vitória de Setúbal,CB,Right,223,70,62,219,277,56,56,77.0,68,77,185.4,78.9,3.0,1,6,1,6.0,6.0,1200000.0,2021.0,0.57,positive,2.0
206098,Patric,27,73,Spain,Lazio,CB,Right,286,69,74,294,340,69,63,66.0,64,68,182.9,72.1,7.0,17,622,79,36.6,36.6,6500000.0,2015.0,-0.278,negative,2.0
230672,Lyanco,23,71,Brazil,Torino,CB,Right,239,69,68,238,275,53,51,70.0,52,74,188.0,83.0,5.0,13,695,90,53.5,53.5,5000000.0,2021.0,0.038,neutral,2.0
205525,Bernard,27,78,Brazil,Everton,LM,Right,339,59,75,379,432,89,76,61.0,69,30,165.1,59.9,4.0,12,388,52,32.3,32.3,12000000.0,2021.0,-0.201,negative,2.0
205185,Tiago Ilori,26,70,Portugal,Sporting CP,CB,Right,225,67,56,228,312,68,43,73.0,65,71,190.5,82.1,5.0,15,379,57,25.3,25.3,1000000.0,2021.0,0.052,positive,2.0
226766,Daniel Podence,24,78,Portugal,Wolverhampton Wanderers,RM,Right,298,42,74,353,447,94,65,66.0,75,30,165.1,58.1,4.0,12,421,66,35.1,35.1,25000000.0,2019.0,0.229,positive,2.0
238616,Pedro Neto,20,72,Portugal,Wolverhampton Wanderers,LW,Left,303,49,65,322,402,86,66,52.0,61,46,172.7,62.1,5.0,10,645,129,64.5,64.5,35000000.0,2019.0,0.136,positive,2.0
226456,Pablo Fornals,24,79,Spain,West Ham United,CAM,Right,355,50,81,380,362,70,77,48.0,78,63,177.8,67.1,5.0,4,86,17,21.5,21.5,20000000.0,2019.0,0.337,positive,2.0
234574,Diogo Dalot,21,76,Portugal,Manchester United,RB,Right,318,69,75,333,377,78,78,84.0,74,74,182.9,76.2,5.0,8,360,68,45.0,45.0,10000000.0,2021.0,-0.23,negative,2.0
207676,Rafael Silva,28,73,Brazil,Wuhan Zall,RW,Right,343,65,72,318,373,82,71,66.0,70,71,177.8,73.0,2.0,1,16,5,16.0,16.0,300000.0,2012.0,0.51,positive,2.0
240243,Matheus Cunha,21,78,Brazil,Hertha BSC,ST,Right,370,64,74,370,397,78,78,74.0,75,68,182.9,76.2,4.0,11,213,34,19.4,19.4,30000000.0,2021.0,0.692,positive,2.0
199626,André André,30,75,Portugal,Vitória Guimarães,CM,Right,344,64,79,373,352,67,74,71.0,63,61,175.3,69.9,3.0,10,510,72,51.0,51.0,2500000.0,2018.0,-0.193,negative,2.0
234569,Florentino,20,76,Portugal,AS Monaco,CDM,Right,253,67,74,284,341,62,65,59.0,76,71,182.9,73.0,4.0,4,79,17,19.8,19.8,10000000.0,2021.0,0.201,positive,2.0
208450,Andreas Pereira,24,75,Brazil,Manchester United,CAM,Right,350,56,76,390,376,74,80,62.0,78,60,177.8,71.2,10.0,5,109,20,21.8,21.8,8000000.0,2021.0,0.076,positive,2.0
210520,Edgar Ié,26,72,Portugal,Trabzonspor,CB,Right,266,63,68,301,364,78,66,86.0,70,72,182.9,68.0,3.0,15,686,110,45.7,45.7,5500000.0,2020.0,0.696,positive,2.0
234153,Carlos Soler,23,79,Spain,Valencia CF,CAM,Right,354,56,81,384,382,77,77,56.0,81,68,180.3,76.2,8.0,6,187,38,31.2,31.2,40000000.0,2016.0,0.229,positive,2.0
234124,Lucas Kal,24,60,Brazil,CD Nacional,CB,Right,181,58,36,163,277,55,41,83.0,55,77,185.4,78.0,2.0,2,48,8,24.0,24.0,500000.0,2020.0,0.247,positive,2.0
192397,Rafael,30,74,Brazil,Reading,GK,Right,92,13,33,95,273,52,48,62.0,32,68,185.4,83.0,3.0,16,936,181,58.5,58.5,1000000.0,2020.0,-0.441,negative,2.0
200752,Juan Jesus,29,74,Brazil,Roma,CB,Left,229,74,58,249,341,72,62,83.0,69,73,185.4,83.0,9.0,14,281,52,20.1,20.1,2000000.0,2021.0,-0.129,negative,2.0
232580,Gabriel,22,78,Brazil,Arsenal,CB,Left,250,80,73,257,274,60,51,70.0,67,84,190.5,87.1,5.0,16,1116,175,69.8,69.8,1500000.0,2020.0,0.477,positive,2.0
216194,Dani García,30,79,Spain,Athletic Club de Bilbao,CDM,Right,306,46,84,350,320,51,72,64.0,91,80,180.3,79.8,4.0,13,404,60,31.1,31.1,3000000.0,2018.0,0.083,positive,2.0
235945,Marc Roca,23,77,Spain,RCD Espanyol,CM,Left,293,42,82,354,318,57,66,57.0,72,66,182.9,73.9,7.0,9,421,64,46.8,46.8,8000000.0,2020.0,0.297,positive,2.0
212831,Alisson,27,90,Brazil,Liverpool,GK,Right,114,19,45,138,268,56,64,52.0,32,78,190.5,91.2,6.0,24,994,191,41.4,41.4,60000000.0,2018.0,-0.498,negative,2.0
200888,Danilo Pereira,28,82,Portugal,Portugal,CDM,Right,329,76,83,340,323,63,74,62.0,84,89,188.0,83.0,4.0,15,367,60,24.5,24.5,16000000.0,2021.0,0.21,positive,2.0
200949,Lucas Moura,27,83,Brazil,Tottenham Hotspur,RM,Right,360,62,74,384,450,95,80,92.0,75,58,175.3,69.9,6.0,15,828,111,55.2,55.2,25000000.0,2017.0,-0.286,negative,2.0
213874,Thiago Mendes,28,77,Brazil,Olympique Lyonnais,CDM,Right,326,59,80,377,374,69,78,69.0,85,69,177.8,79.8,4.0,6,288,40,48.0,48.0,15000000.0,2019.0,0.593,positive,2.0
230794,Nacho Gil,24,68,Spain,FC Cartagena,CAM,Right,276,30,67,333,376,80,62,38.0,58,40,167.6,63.0,2.0,6,413,66,68.8,68.8,500000.0,2019.0,0.48,positive,2.0
199715,Vitolo,30,79,Spain,Atlético Madrid,LM,Right,368,65,76,379,367,76,77,69.0,76,79,185.4,78.9,5.0,15,1273,58,84.9,84.9,4000000.0,2021.0,0.113,positive,2.0
197781,Isco,28,84,Spain,Real Madrid,CAM,Right,360,55,84,428,383,71,69,61.0,61,59,175.3,78.9,9.0,15,501,76,33.4,33.4,15000000.0,2013.0,-0.159,negative,2.0
146717,Anderson Silva,26,68,Brazil,Barnsley,CM,Right,254,51,73,284,198,71,61,67.0,71,64,188.0,81.2,4.0,8,442,55,55.2,55.2,2000000.0,2021.0,0.278,positive,2.0
168542,David Silva,34,86,Spain,Real Sociedad,CAM,Left,383,53,92,420,388,68,72,64.0,70,46,172.7,67.1,2.0,17,356,66,20.9,20.9,5000000.0,2020.0,-0.293,negative,2.0
188152,Oscar,28,83,Brazil,Shanghai SIPG FC,CAM,Right,376,59,86,404,410,83,80,75.0,84,58,177.8,66.2,7.0,8,325,49,40.6,40.6,18000000.0,2016.0,0.388,positive,2.0
254544,Reinier,18,71,Brazil,Borussia Dortmund,CAM,Right,322,59,67,335,379,84,72,54.0,69,67,185.4,72.1,4.0,7,169,31,24.1,24.1,16000000.0,2020.0,0.453,positive,2.0
256632,Luis Henrique,18,67,Brazil,Olympique de Marseille,ST,Right,304,60,61,283,352,85,67,43.0,65,69,180.3,73.9,5.0,4,106,14,26.5,26.5,1500000.0,2020.0,0.278,positive,2.0
251854,Pedri,17,72,Spain,FC Barcelona,CAM,Right,293,49,75,340,398,86,61,67.0,58,44,175.3,60.8,2.0,11,489,88,44.5,44.5,80000000.0,2020.0,-0.24,negative,2.0
245289,Pepê,20,62,Brazil,Portimonense SC,CAM,Right,265,41,65,305,325,58,57,64.0,66,52,170.2,68.0,2.0,7,152,19,21.7,21.7,13000000.0,2021.0,0.038,neutral,2.0
254894,Leonardo,23,70,Brazil,Urawa Red Diamonds,ST,Right,325,69,64,290,336,68,71,69.0,52,69,180.3,77.1,3.0,5,487,66,97.4,97.4,1500000.0,2020.0,0.386,positive,2.0
251540,Patrick,21,59,Brazil,FC Sion,ST,Right,255,55,52,256,353,71,62,65.0,61,65,177.8,77.1,5.0,11,929,100,84.5,84.5,1500000.0,2020.0,0.159,positive,2.0
120533,Pepe,37,81,Portugal,Portugal,CB,Right,270,82,73,284,321,63,63,88.0,82,83,188.0,81.2,4.0,15,264,57,17.6,17.6,1000000.0,2018.0,-0.238,negative,2.0
246606,Fran García,20,64,Spain,Rayo Vallecano,LWB,Left,247,44,57,267,372,76,47,60.0,65,34,167.6,60.8,4.0,8,794,78,99.2,99.2,1500000.0,2020.0,0.083,positive,2.0
189530,Sílvio,32,72,Portugal,Vitória Guimarães,RB,Right,307,65,69,310,340,68,66,74.0,78,64,175.3,68.0,1.0,5,422,58,84.4,84.4,300000.0,2020.0,0.256,positive,2.0
255475,Antony,20,78,Brazil,Ajax,CAM,Left,316,45,73,379,432,92,69,57.0,77,54,172.7,63.0,5.0,9,269,36,29.9,29.9,100000.0,2021.0,0.12,positive,2.0
179944,David Luiz,33,80,Brazil,Arsenal,CB,Right,343,80,77,369,318,59,81,77.0,68,78,188.0,86.2,2.0,15,228,46,15.2,15.2,4000000.0,2021.0,0.735,positive,2.0
162895,Cesc Fàbregas,33,75,Spain,AS Monaco,CM,Right,343,57,81,391,291,45,70,50.0,49,60,177.8,76.2,3.0,15,520,79,34.7,34.7,5000000.0,2018.0,0.795,positive,2.0
251894,Show,21,64,Angola,Boavista FC,CDM,Right,253,49,68,299,326,64,52,72.0,64,66,180.3,73.0,4.0,1,29,4,29.0,29.0,1500000.0,2021.0,0.318,positive,2.0
246309,Miguel Luís,21,69,Portugal,Sporting CP,CAM,Right,315,57,73,345,344,68,74,73.0,64,63,177.8,73.0,7.0,2,51,8,25.5,25.5,800000.0,2021.0,0.324,positive,2.0
251847,Paulinho,25,66,Brazil,FC Midtjylland,LB,Left,298,55,63,286,372,81,66,63.0,75,58,177.8,71.2,5.0,68,4445,598,65.4,65.4,1200000.0,2020.0,0.21,positive,2.0
188133,Wellington,24,73,Brazil,Internacional,CDM,Right,315,63,72,344,396,82,73,87.0,84,64,172.7,69.9,7.0,8,592,111,74.0,74.0,1500000.0,2020.0,0.918,positive,2.0
177644,Kiko Casilla,33,74,Spain,Leeds United,GK,Right,97,13,34,127,266,44,54,69.0,40,76,190.5,86.2,4.0,1,32,3,32.0,32.0,800000.0,2021.0,0.21,positive,2.0
171791,José Fonte,36,78,Portugal,LOSC Lille,CB,Right,258,80,68,245,238,32,39,73.0,59,82,190.5,81.2,3.0,3,148,33,49.3,49.3,1500000.0,2018.0,0.692,positive,2.0
247851,Bruno Guimarães,22,78,Brazil,Olympique Lyonnais,CM,Right,339,64,83,374,359,70,71,61.0,82,70,182.9,78.0,4.0,3,54,8,18.0,18.0,30000000.0,2019.0,0.134,positive,2.0
248550,Dani Vivian,20,65,Spain,CD Mirandés,CB,Right,243,68,53,211,305,53,46,79.0,53,70,182.9,83.0,4.0,6,146,25,24.3,24.3,7500000.0,2021.0,0.148,positive,2.0
256893,Jefferson,20,61,Brazil,Clube Sport Marítimo,ST,Right,270,71,49,224,255,55,62,48.0,59,81,190.5,88.0,5.0,38,1037,160,27.3,27.3,1500000.0,2020.0,0.21,positive,2.0
252956,Jonathan,22,69,Brazil,UD Las Palmas,LB,Left,256,60,63,267,331,68,57,64.0,66,46,172.7,68.9,4.0,12,492,88,41.0,41.0,1200000.0,2020.0,0.451,positive,2.0
253004,Ansu Fati,17,76,Spain,FC Barcelona,LW,Right,333,58,72,334,417,89,67,73.0,64,48,177.8,66.2,4.0,14,686,131,49.0,49.0,60000000.0,2020.0,0.3,positive,2.0
185221,Luiz Gustavo,32,80,Brazil,Fenerbahçe SK,CDM,Left,312,72,75,323,318,61,78,77.0,85,81,188.0,78.0,4.0,15,554,98,36.9,36.9,3600000.0,2019.0,0.0,neutral,1.0
205070,Portu,28,83,Spain,Real Sociedad,RW,Right,394,77,83,388,420,90,82,75.0,89,73,167.6,66.2,5.0,3,96,14,32.0,32.0,20000000.0,2019.0,0.0,neutral,1.0
200724,Nacho Fernández,30,80,Spain,Real Madrid,CB,Right,296,78,78,288,363,72,54,82.0,81,79,180.3,76.2,11.0,19,469,90,24.7,24.7,8000000.0,2013.0,0.612,positive,1.0
229668,Mario Hermoso,25,80,Spain,Atlético Madrid,CB,Left,306,75,77,341,370,73,65,86.0,76,79,182.9,74.8,5.0,15,287,44,19.1,19.1,35000000.0,2019.0,0.0,neutral,1.0
231628,Rafa Mir,23,70,Spain,SD Huesca,ST,Right,349,77,64,305,335,70,72,78.0,67,73,190.5,87.1,4.0,3,135,17,45.0,45.0,16000000.0,2021.0,0.361,positive,1.0
237704,João Virgínia,20,63,Portugal,Everton,GK,Left,73,10,32,77,228,54,47,40.0,16,57,190.5,83.0,6.0,1,60,4,60.0,60.0,1000000.0,2021.0,0.273,positive,1.0
219693,Diego Carlos,27,83,Brazil,Sevilla FC,CB,Right,256,79,76,328,359,78,73,82.0,74,86,185.4,86.2,5.0,10,395,63,39.5,39.5,45000000.0,2019.0,0.625,positive,1.0
237735,Matheus Fernandes,22,68,Brazil,FC Barcelona,CM,Right,296,71,68,325,334,69,75,82.0,78,70,182.9,71.2,5.0,10,253,57,25.3,25.3,1500000.0,2021.0,0.361,positive,1.0
214048,Douglas Coutinho,22,71,Brazil,SC Braga,ST,Right,312,67,60,314,399,78,69,64.0,67,60,182.9,71.2,6.0,1,20,2,20.0,20.0,350000.0,2016.0,-0.296,negative,1.0
204387,Juan Carlos,29,73,Spain,SD Huesca,CAM,Right,316,49,76,357,345,71,58,58.0,72,58,182.9,73.0,2.0,6,147,18,24.5,24.5,2000000.0,2020.0,0.764,positive,1.0
205069,Juan Bernat,27,83,Spain,Paris Saint-Germain,LB,Left,350,57,82,368,419,82,64,74.0,79,57,170.2,67.1,3.0,15,763,141,50.9,50.9,13000000.0,2018.0,0.0,neutral,1.0
230885,Bruno Henrique,25,72,Brazil,VfL Wolfsburg,RW,Right,331,65,67,282,392,86,73,77.0,62,53,182.9,71.2,3.0,12,528,85,44.0,44.0,4500000.0,2016.0,0.0,neutral,1.0
204280,Cristian Herrera,29,67,Spain,CD Lugo,ST,Left,327,63,64,336,300,66,70,66.0,79,84,180.3,76.2,4.0,1,7,1,7.0,7.0,500000.0,2017.0,0.877,positive,1.0
219641,Cristian López,31,69,Spain,UD Las Palmas,ST,Right,295,74,58,254,336,75,68,79.0,81,78,185.4,79.8,5.0,2,218,20,109.0,109.0,200000.0,2019.0,0.421,positive,1.0
146562,Santi Cazorla,35,82,Spain,Spain,CM,Right,381,60,86,421,372,64,77,50.0,60,59,167.6,64.9,4.0,9,1003,196,111.4,111.4,2000000.0,2020.0,-0.34,negative,1.0
230786,Pepelu,21,70,Spain,Vitória Guimarães,CM,Right,289,49,73,350,306,58,68,41.0,89,61,185.4,73.0,4.0,1,9,1,9.0,9.0,2500000.0,2021.0,0.296,positive,1.0
229712,Jorge,24,76,Brazil,AS Monaco,LWB,Left,309,53,75,335,365,76,75,54.0,75,60,182.9,69.9,4.0,7,796,111,113.7,113.7,3200000.0,2021.0,0.0,neutral,1.0
238860,Jadson,28,71,Brazil,Portimonense SC,CB,Right,193,68,59,167,301,63,45,75.0,63,79,188.0,83.9,9.0,10,544,63,54.4,54.4,500000.0,2021.0,0.572,positive,1.0
218623,Cafú,27,70,Portugal,Olympiacos CFP,ST,Right,326,69,69,304,325,69,82,63.0,85,82,185.4,82.1,2.0,2,77,12,38.5,38.5,1200000.0,2019.0,0.166,positive,1.0
230767,Renato Sanches,22,78,Portugal,LOSC Lille,CAM,Right,349,64,79,376,399,79,84,82.0,87,77,175.3,69.9,4.0,15,418,76,27.9,27.9,30000000.0,2019.0,-0.153,negative,1.0
229927,Gerson,21,74,Brazil,Fiorentina,CAM,Left,307,46,81,364,369,69,61,64.0,68,67,182.9,72.1,4.0,10,259,34,25.9,25.9,20000000.0,2021.0,0.0,neutral,1.0
251530,Nuno Tavares,20,72,Portugal,SL Benfica,LWB,Left,275,54,64,322,382,86,79,58.0,66,76,182.9,76.2,6.0,12,212,40,17.7,17.7,7000000.0,2021.0,0.494,positive,1.0
216437,Wallace,25,74,Brazil,Lazio,CB,Right,225,75,59,209,286,63,40,71.0,51,80,190.5,84.8,5.0,16,444,64,27.8,27.8,1500000.0,2020.0,0.0,neutral,1.0
216452,Gonçalo Paciência,25,77,Portugal,FC Schalke 04,ST,Right,345,84,69,317,339,62,77,76.0,75,78,182.9,78.9,4.0,15,552,98,36.8,36.8,5000000.0,2021.0,0.0,neutral,1.0
239875,Bebeto,30,73,Brazil,CD Tondela,RB,Right,290,58,69,312,374,76,58,80.0,83,51,175.3,62.1,2.0,4,150,19,37.5,37.5,350000.0,2020.0,0.856,positive,1.0
213516,Ricardo Horta,25,79,Portugal,SC Braga,CAM,Right,363,51,77,380,408,82,78,62.0,85,40,172.7,63.0,7.0,7,106,18,15.1,15.1,14000000.0,2017.0,0.678,positive,1.0
232008,Toni Lato,22,73,Spain,Valencia CF,LB,Left,330,65,72,329,376,77,64,51.0,68,56,170.2,64.0,6.0,8,178,28,22.2,22.2,2500000.0,2020.0,0.0,neutral,1.0
205500,Rafinha,25,63,Portugal,Vitória de Setúbal,CAM,Right,252,43,69,298,399,78,60,59.0,49,30,165.1,58.1,3.0,39,1159,202,29.7,29.7,2000000.0,2020.0,0.0,neutral,1.0
168444,Ari,31,77,Brazil,Lokomotiv Moscow,ST,Right,367,70,75,340,364,79,80,91.0,76,82,180.3,83.9,4.0,13,675,95,51.9,51.9,400000.0,2009.0,0.25,positive,1.0
252144,Eduardo Quaresma,18,72,Portugal,Sporting CP,CB,Right,224,68,66,231,287,55,44,80.0,41,75,185.4,76.2,6.0,8,121,24,15.1,15.1,5000000.0,2021.0,0.649,positive,1.0
211706,Pere Pons,27,75,Spain,Deportivo Alavés,CM,Right,304,58,79,342,338,65,62,64.0,79,65,177.8,69.9,3.0,7,191,26,27.3,27.3,2500000.0,2019.0,0.612,positive,1.0
233194,Leandrinho,23,64,Brazil,Gil Vicente FC,RM,Right,303,63,72,316,339,68,62,56.0,55,60,175.3,73.0,3.0,11,396,59,36.0,36.0,1000000.0,2020.0,0.0,neutral,1.0
234819,Guilherme,25,73,Brazil,Al Faisaly,RM,Right,328,56,66,325,385,84,70,55.0,69,63,180.3,64.9,1.0,31,1874,265,60.5,60.5,1000000.0,2020.0,0.347,positive,1.0
211323,Pol García,25,69,Spain,Sint-Truidense VV,CB,Left,254,69,65,323,314,60,49,75.0,60,68,182.9,74.8,3.0,4,85,12,21.2,21.2,800000.0,2018.0,0.0,neutral,1.0
234790,Juan Soriano,22,70,Spain,Málaga CF,GK,Left,83,20,23,123,227,37,50,66.0,35,58,185.4,83.0,4.0,1,12,2,12.0,12.0,1000000.0,2021.0,0.361,positive,1.0
209297,Fred,27,81,Brazil,Manchester United,CM,Left,346,53,80,395,415,79,78,80.0,87,56,170.2,62.1,5.0,11,495,115,45.0,45.0,2450000.0,2020.0,-0.66,negative,1.0
168898,Ahmed Hassan,37,64,Egypt,Egypt,CDM,Right,269,63,64,270,320,61,51,67.0,68,70,175.3,73.9,4.0,15,394,51,26.3,26.3,3400000.0,2020.0,0.318,positive,1.0
234577,Diogo Costa,20,70,Portugal,FC Porto,GK,Right,66,11,28,87,201,29,44,53.0,23,62,188.0,81.2,6.0,20,698,72,34.9,34.9,10000000.0,2019.0,0.459,positive,1.0
170569,David Rodríguez,33,67,Spain,Racing Santander,ST,Right,322,62,61,278,340,69,69,76.0,65,64,177.8,74.8,1.0,2,24,5,12.0,12.0,150000.0,2019.0,0.0,neutral,1.0
252590,Fer Niño,19,65,Spain,Villarreal CF,ST,Right,313,74,70,258,309,65,62,70.0,60,70,190.5,78.0,4.0,1,520,6,520.0,520.0,5000000.0,2021.0,0.0,neutral,1.0
233927,Lucas Paquetá,22,76,Brazil,Milan,CAM,Left,344,56,78,393,367,73,77,81.0,82,69,180.3,72.1,4.0,8,141,24,17.6,17.6,35000000.0,2020.0,0.823,positive,1.0
210868,José Mari,32,70,Spain,Cádiz CF,CDM,Right,298,57,68,327,339,70,75,79.0,74,73,180.3,68.9,6.0,12,890,135,74.2,74.2,500000.0,2014.0,0.0,neutral,1.0
210862,Ricardo Ferreira,27,69,Portugal,Os Belenenses,CB,Right,226,74,63,212,266,55,46,43.0,31,76,190.5,77.1,4.0,14,1290,198,92.1,92.1,300000.0,2020.0,0.572,positive,1.0
210822,Douglas Santos,24,77,Brazil,Hamburger SV,LWB,Left,310,60,69,356,393,78,76,71.0,79,50,175.3,69.9,5.0,5,72,12,14.4,14.4,16000000.0,2016.0,0.784,positive,1.0
